time;work;work cumulative
2134;1596800.0;1.8975968E9
2135;3200.0;1.8976E9
2136;1600000.0;1.8992E9
2137;0.0;1.8992E9
2138;1600000.0;1.9008E9
2139;0.0;1.9008E9
2140;1600000.0;1.9024E9
2141;0.0;1.9024E9
2142;1600000.0;1.904E9
2143;1596800.0;1.9055968E9
2144;3200.0;1.9056E9
2145;1600000.0;1.9072E9
2146;0.0;1.9072E9
2147;1600000.0;1.9088E9
2148;0.0;1.9088E9
2149;1600000.0;1.9104E9
2150;0.0;1.9104E9
2151;1600000.0;1.912E9
2152;1596800.0;1.9135968E9
2153;3200.0;1.9136E9
2154;1600000.0;1.9152E9
2155;0.0;1.9152E9
2156;1600000.0;1.9168E9
2157;0.0;1.9168E9
2158;1600000.0;1.9184E9
2159;0.0;1.9184E9
2160;1600000.0;1.92E9
2161;1596800.0;1.9215968E9
2162;3200.0;1.9216E9
2163;1600000.0;1.9232E9
2164;0.0;1.9232E9
2165;1600000.0;1.9248E9
2166;0.0;1.9248E9
2167;1600000.0;1.9264E9
2168;0.0;1.9264E9
2169;1600000.0;1.928E9
2170;1596800.0;1.9295968E9
2171;3200.0;1.9296E9
2172;1600000.0;1.9312E9
2173;0.0;1.9312E9
2174;1600000.0;1.9328E9
2175;0.0;1.9328E9
2176;1600000.0;1.9344E9
2177;0.0;1.9344E9
2178;1600000.0;1.936E9
2179;1596800.0;1.9375968E9
2180;3200.0;1.9376E9
2181;1600000.0;1.9392E9
2182;0.0;1.9392E9
2183;1600000.0;1.9408E9
2184;0.0;1.9408E9
2185;1600000.0;1.9424E9
2186;0.0;1.9424E9
2187;1600000.0;1.944E9
2188;1596800.0;1.9455968E9
2189;3200.0;1.9456E9
2190;1600000.0;1.9472E9
2191;0.0;1.9472E9
2192;1600000.0;1.9488E9
2193;0.0;1.9488E9
2194;1600000.0;1.9504E9
2195;0.0;1.9504E9
2196;1600000.0;1.952E9
2197;1596800.0;1.9535968E9
2198;3200.0;1.9536E9
2199;1600000.0;1.9552E9
2200;0.0;1.9552E9
2201;1600000.0;1.9568E9
2202;0.0;1.9568E9
2203;1600000.0;1.9584E9
2204;0.0;1.9584E9
2205;1600000.0;1.96E9
2206;1596800.0;1.9615968E9
2207;3200.0;1.9616E9
2208;1600000.0;1.9632E9
2209;0.0;1.9632E9
2210;1600000.0;1.9648E9
2211;0.0;1.9648E9
2212;1600000.0;1.9664E9
2213;0.0;1.9664E9
2214;1600000.0;1.968E9
2215;1596800.0;1.9695968E9
2216;3200.0;1.9696E9
2217;1600000.0;1.9712E9
2218;0.0;1.9712E9
2219;1600000.0;1.9728E9
2220;0.0;1.9728E9
2221;1600000.0;1.9744E9
2222;0.0;1.9744E9
2223;1600000.0;1.976E9
2224;1596800.0;1.9775968E9
2225;3200.0;1.9776E9
2226;1600000.0;1.9792E9
2227;0.0;1.9792E9
2228;1600000.0;1.9808E9
2229;0.0;1.9808E9
2230;1600000.0;1.9824E9
2231;0.0;1.9824E9
2232;1600000.0;1.984E9
2233;1596800.0;1.9855968E9
2234;3200.0;1.9856E9
2235;1600000.0;1.9872E9
2236;0.0;1.9872E9
2237;1600000.0;1.9888E9
2238;0.0;1.9888E9
2239;1600000.0;1.9904E9
2240;0.0;1.9904E9
2241;1600000.0;1.992E9
2242;1596800.0;1.9935968E9
2243;3200.0;1.9936E9
2244;1600000.0;1.9952E9
2245;0.0;1.9952E9
2246;1600000.0;1.9968E9
2247;0.0;1.9968E9
2248;1600000.0;1.9984E9
2249;0.0;1.9984E9
2250;1600000.0;2.0E9
2251;1596800.0;2.0015968E9
2252;3200.0;2.0016E9
2253;1600000.0;2.0032E9
2254;0.0;2.0032E9
2255;1600000.0;2.0048E9
2256;0.0;2.0048E9
2257;1600000.0;2.0064E9
2258;0.0;2.0064E9
2259;1600000.0;2.008E9
2260;1596800.0;2.0095968E9
2261;3200.0;2.0096E9
2262;1600000.0;2.0112E9
2263;0.0;2.0112E9
2264;1600000.0;2.0128E9
2265;0.0;2.0128E9
2266;1600000.0;2.0144E9
2267;0.0;2.0144E9
2268;1600000.0;2.016E9
2269;1596800.0;2.0175968E9
2270;3200.0;2.0176E9
2271;1600000.0;2.0192E9
2272;0.0;2.0192E9
2273;1600000.0;2.0208E9
2274;0.0;2.0208E9
2275;1600000.0;2.0224E9
2276;0.0;2.0224E9
2277;1600000.0;2.024E9
2278;1596800.0;2.0255968E9
2279;3200.0;2.0256E9
2280;1600000.0;2.0272E9
2281;0.0;2.0272E9
2282;1600000.0;2.0288E9
2283;0.0;2.0288E9
2284;1600000.0;2.0304E9
2285;0.0;2.0304E9
2286;1600000.0;2.032E9
2287;1596800.0;2.0335968E9
2288;3200.0;2.0336E9
2289;1600000.0;2.0352E9
2290;0.0;2.0352E9
2291;1600000.0;2.0368E9
2292;0.0;2.0368E9
2293;1600000.0;2.0384E9
2294;0.0;2.0384E9
2295;1600000.0;2.04E9
2296;1596800.0;2.0415968E9
2297;3200.0;2.0416E9
2298;1600000.0;2.0432E9
2299;0.0;2.0432E9
2300;1600000.0;2.0448E9
2301;0.0;2.0448E9
2302;1600000.0;2.0464E9
2303;0.0;2.0464E9
2304;1600000.0;2.048E9
2305;1596800.0;2.0495968E9
