time;energy
1873;1198.54
1874;471.46
1875;1200.0
1876;470.0
1877;1200.0
1878;470.0
1879;1200.0
1880;470.0
1881;1200.0
1882;1198.54
1883;471.46
1884;1200.0
1885;470.0
1886;1200.0
1887;470.0
1888;1200.0
1889;470.0
1890;1200.0
1891;1198.54
1892;471.46
1893;1200.0
1894;470.0
1895;1200.0
1896;470.0
1897;1200.0
1898;470.0
1899;1200.0
1900;1198.54
1901;471.46
1902;1200.0
1903;470.0
1904;1200.0
1905;470.0
1906;1200.0
1907;470.0
1908;1200.0
1909;1198.54
1910;471.46
1911;1200.0
1912;470.0
1913;1200.0
1914;470.0
1915;1200.0
1916;470.0
1917;1200.0
1918;1198.54
1919;471.46
1920;1200.0
1921;470.0
1922;1200.0
1923;470.0
1924;1200.0
1925;470.0
1926;1200.0
1927;1198.54
1928;471.46
1929;1200.0
1930;470.0
1931;1200.0
1932;470.0
1933;1200.0
1934;470.0
1935;1200.0
1936;1198.54
1937;471.46
1938;1200.0
1939;470.0
1940;1200.0
1941;470.0
1942;1200.0
1943;470.0
1944;1200.0
1945;1198.54
1946;471.46
1947;1200.0
1948;470.0
1949;1200.0
1950;470.0
1951;1200.0
1952;470.0
1953;1200.0
1954;1198.54
1955;471.46
1956;1200.0
1957;470.0
1958;1200.0
1959;470.0
1960;1200.0
1961;470.0
1962;1200.0
1963;1198.54
1964;471.46
1965;1200.0
1966;470.0
1967;1200.0
1968;470.0
1969;1200.0
1970;470.0
1971;1200.0
1972;1198.54
1973;471.46
1974;1200.0
1975;470.0
1976;1200.0
1977;470.0
1978;1200.0
1979;470.0
1980;1200.0
1981;1198.54
1982;471.46
1983;1200.0
1984;470.0
1985;1200.0
1986;470.0
1987;1200.0
1988;470.0
1989;1200.0
1990;1198.54
1991;471.46
1992;1200.0
1993;470.0
1994;1200.0
1995;470.0
1996;1200.0
1997;470.0
1998;1200.0
1999;1198.54
2000;471.46
2001;1200.0
2002;470.0
2003;1200.0
2004;470.0
2005;1200.0
2006;470.0
2007;1200.0
2008;1198.54
2009;471.46
2010;1200.0
2011;470.0
2012;1200.0
2013;470.0
2014;1200.0
2015;470.0
2016;1200.0
2017;1198.54
2018;471.46
2019;1200.0
2020;470.0
2021;1200.0
2022;470.0
2023;1200.0
2024;470.0
2025;1200.0
2026;1198.54
2027;471.46
2028;1200.0
2029;470.0
2030;1200.0
2031;470.0
2032;1200.0
2033;470.0
2034;1200.0
2035;1198.54
2036;471.46
2037;1200.0
2038;470.0
2039;1200.0
2040;470.0
2041;1200.0
2042;470.0
2043;1200.0
2044;1198.54
2045;471.46
2046;1200.0
2047;470.0
2048;1200.0
2049;470.0
2050;1200.0
2051;470.0
2052;1200.0
2053;1198.54
2054;471.46
2055;1200.0
2056;470.0
2057;1200.0
2058;470.0
2059;1200.0
2060;470.0
2061;1200.0
2062;1198.54
2063;471.46
2064;1200.0
2065;470.0
2066;1200.0
2067;470.0
2068;1200.0
2069;470.0
2070;1200.0
2071;1198.54
2072;471.46
2073;1200.0
2074;470.0
2075;1200.0
2076;470.0
2077;1200.0
2078;470.0
2079;1200.0
2080;1198.54
2081;471.46
2082;1200.0
2083;470.0
2084;1200.0
2085;470.0
2086;1200.0
2087;470.0
2088;1200.0
2089;1198.54
2090;471.46
2091;1200.0
2092;470.0
2093;1200.0
2094;470.0
2095;1200.0
2096;470.0
2097;1200.0
2098;1198.54
2099;471.46
2100;1200.0
2101;470.0
2102;1200.0
2103;470.0
2104;1200.0
2105;470.0
2106;1200.0
2107;1198.54
2108;471.46
2109;1200.0
2110;470.0
2111;1200.0
2112;470.0
2113;1200.0
2114;470.0
2115;1200.0
2116;1198.54
2117;471.46
2118;1200.0
2119;470.0
2120;1200.0
2121;470.0
2122;1200.0
2123;470.0
2124;1200.0
2125;1198.54
2126;471.46
2127;1200.0
2128;470.0
2129;1200.0
2130;470.0
2131;1200.0
2132;470.0
2133;1200.0
2134;1198.54
2135;471.46
2136;1200.0
2137;470.0
2138;1200.0
2139;470.0
2140;1200.0
2141;470.0
2142;1200.0
2143;1198.54
2144;471.46
2145;1200.0
2146;470.0
2147;1200.0
2148;470.0
2149;1200.0
2150;470.0
2151;1200.0
2152;1198.54
2153;471.46
2154;1200.0
2155;470.0
2156;1200.0
2157;470.0
2158;1200.0
2159;470.0
2160;1200.0
2161;1198.54
2162;471.46
2163;1200.0
2164;470.0
2165;1200.0
2166;470.0
2167;1200.0
2168;470.0
2169;1200.0
2170;1198.54
2171;471.46
2172;1200.0
2173;470.0
2174;1200.0
2175;470.0
2176;1200.0
2177;470.0
2178;1200.0
2179;1198.54
2180;471.46
2181;1200.0
2182;470.0
2183;1200.0
2184;470.0
2185;1200.0
2186;470.0
2187;1200.0
2188;1198.54
2189;471.46
2190;1200.0
2191;470.0
2192;1200.0
2193;470.0
2194;1200.0
2195;470.0
2196;1200.0
2197;1198.54
2198;471.46
2199;1200.0
2200;470.0
2201;1200.0
2202;470.0
2203;1200.0
2204;470.0
2205;1200.0
2206;1198.54
2207;471.46
2208;1200.0
2209;470.0
2210;1200.0
2211;470.0
2212;1200.0
2213;470.0
2214;1200.0
2215;1198.54
2216;471.46
2217;1200.0
2218;470.0
2219;1200.0
2220;470.0
2221;1200.0
2222;470.0
2223;1200.0
2224;1198.54
2225;471.46
2226;1200.0
2227;470.0
2228;1200.0
2229;470.0
2230;1200.0
2231;470.0
2232;1200.0
2233;1198.54
2234;471.46
2235;1200.0
2236;470.0
2237;1200.0
2238;470.0
2239;1200.0
2240;470.0
2241;1200.0
2242;1198.54
2243;471.46
2244;1200.0
2245;470.0
2246;1200.0
2247;470.0
2248;1200.0
2249;470.0
2250;1200.0
2251;1198.54
2252;471.46
2253;1200.0
2254;470.0
2255;1200.0
2256;470.0
2257;1200.0
2258;470.0
2259;1200.0
2260;1198.54
2261;471.46
2262;1200.0
2263;470.0
2264;1200.0
2265;470.0
2266;1200.0
2267;470.0
2268;1200.0
2269;1198.54
2270;471.46
2271;1200.0
2272;470.0
2273;1200.0
2274;470.0
2275;1200.0
2276;470.0
2277;1200.0
2278;1198.54
2279;471.46
2280;1200.0
2281;470.0
2282;1200.0
2283;470.0
2284;1200.0
2285;470.0
2286;1200.0
2287;1198.54
2288;471.46
2289;1200.0
2290;470.0
2291;1200.0
2292;470.0
2293;1200.0
2294;470.0
2295;1200.0
2296;1198.54
2297;471.46
2298;1200.0
2299;470.0
2300;1200.0
2301;470.0
2302;1200.0
2303;470.0
2304;1200.0
2305;1198.54
2306;471.46
2307;1200.0
2308;470.0
